Estado,Município,Sexo,Faixa Etária,Saldo
MA,Acailandia,Masculino,Até 17,17
MA,Acailandia,Masculino,18 a 24,267
MA,Acailandia,Masculino,25 a 29,-30
MA,Acailandia,Masculino,30 a 39,-261
MA,Acailandia,Masculino,40 a 49,-102
MA,Acailandia,Masculino,50 a 64,-73
MA,Acailandia,Masculino,65 ou mais,-13
MA,Acailandia,Masculino,Total,-195
MA,Acailandia,Feminino,Até 17,8
MA,Acailandia,Feminino,18 a 24,65
MA,Acailandia,Feminino,25 a 29,11
MA,Acailandia,Feminino,30 a 39,0
MA,Acailandia,Feminino,40 a 49,-10
MA,Acailandia,Feminino,50 a 64,-11
MA,Acailandia,Feminino,65 ou mais,0
MA,Acailandia,Feminino,Total,63
MA,Acailandia,Total,Até 17,25
MA,Acailandia,Total,18 a 24,332
MA,Acailandia,Total,25 a 29,-19
MA,Acailandia,Total,30 a 39,-261
MA,Acailandia,Total,40 a 49,-112
MA,Acailandia,Total,50 a 64,-84
MA,Acailandia,Total,65 ou mais,-13
MA,Acailandia,Total,Total,-132
MA,Afonso Cunha,Masculino,Até 17,0
MA,Afonso Cunha,Masculino,18 a 24,1
MA,Afonso Cunha,Masculino,25 a 29,1
MA,Afonso Cunha,Masculino,30 a 39,1
MA,Afonso Cunha,Masculino,40 a 49,-1
MA,Afonso Cunha,Masculino,50 a 64,0
MA,Afonso Cunha,Masculino,65 ou mais,0
MA,Afonso Cunha,Masculino,Total,2
MA,Afonso Cunha,Feminino,Até 17,0
MA,Afonso Cunha,Feminino,18 a 24,0
MA,Afonso Cunha,Feminino,25 a 29,0
MA,Afonso Cunha,Feminino,30 a 39,-1
MA,Afonso Cunha,Feminino,40 a 49,1
MA,Afonso Cunha,Feminino,50 a 64,0
MA,Afonso Cunha,Feminino,65 ou mais,0
MA,Afonso Cunha,Feminino,Total,0
MA,Afonso Cunha,Total,Até 17,0
MA,Afonso Cunha,Total,18 a 24,1
MA,Afonso Cunha,Total,25 a 29,1
MA,Afonso Cunha,Total,30 a 39,0
MA,Afonso Cunha,Total,40 a 49,0
MA,Afonso Cunha,Total,50 a 64,0
MA,Afonso Cunha,Total,65 ou mais,0
MA,Afonso Cunha,Total,Total,2
MA,Agua Doce do Maranhao,Masculino,Até 17,0
MA,Agua Doce do Maranhao,Masculino,18 a 24,-1
MA,Agua Doce do Maranhao,Masculino,25 a 29,2
MA,Agua Doce do Maranhao,Masculino,30 a 39,0
MA,Agua Doce do Maranhao,Masculino,40 a 49,1
MA,Agua Doce do Maranhao,Masculino,50 a 64,1
MA,Agua Doce do Maranhao,Masculino,65 ou mais,0
MA,Agua Doce do Maranhao,Masculino,Total,3
MA,Agua Doce do Maranhao,Feminino,Até 17,0
MA,Agua Doce do Maranhao,Feminino,18 a 24,4
MA,Agua Doce do Maranhao,Feminino,25 a 29,0
MA,Agua Doce do Maranhao,Feminino,30 a 39,-1
MA,Agua Doce do Maranhao,Feminino,40 a 49,1
MA,Agua Doce do Maranhao,Feminino,50 a 64,0
MA,Agua Doce do Maranhao,Feminino,65 ou mais,0
MA,Agua Doce do Maranhao,Feminino,Total,4
MA,Agua Doce do Maranhao,Total,Até 17,0
MA,Agua Doce do Maranhao,Total,18 a 24,3
MA,Agua Doce do Maranhao,Total,25 a 29,2
MA,Agua Doce do Maranhao,Total,30 a 39,-1
MA,Agua Doce do Maranhao,Total,40 a 49,2
MA,Agua Doce do Maranhao,Total,50 a 64,1
MA,Agua Doce do Maranhao,Total,65 ou mais,0
MA,Agua Doce do Maranhao,Total,Total,7
MA,Alcantara,Masculino,Até 17,0
MA,Alcantara,Masculino,18 a 24,2
MA,Alcantara,Masculino,25 a 29,2
MA,Alcantara,Masculino,30 a 39,6
MA,Alcantara,Masculino,40 a 49,2
MA,Alcantara,Masculino,50 a 64,4
MA,Alcantara,Masculino,65 ou mais,0
MA,Alcantara,Masculino,Total,16
MA,Alcantara,Feminino,Até 17,0
MA,Alcantara,Feminino,18 a 24,2
MA,Alcantara,Feminino,25 a 29,0
MA,Alcantara,Feminino,30 a 39,0
MA,Alcantara,Feminino,40 a 49,0
MA,Alcantara,Feminino,50 a 64,1
MA,Alcantara,Feminino,65 ou mais,0
MA,Alcantara,Feminino,Total,3
MA,Alcantara,Total,Até 17,0
MA,Alcantara,Total,18 a 24,4
MA,Alcantara,Total,25 a 29,2
MA,Alcantara,Total,30 a 39,6
MA,Alcantara,Total,40 a 49,2
MA,Alcantara,Total,50 a 64,5
MA,Alcantara,Total,65 ou mais,0
MA,Alcantara,Total,Total,19
MA,Aldeias Altas,Masculino,Até 17,3
MA,Aldeias Altas,Masculino,18 a 24,19
MA,Aldeias Altas,Masculino,25 a 29,7
MA,Aldeias Altas,Masculino,30 a 39,5
MA,Aldeias Altas,Masculino,40 a 49,-9
MA,Aldeias Altas,Masculino,50 a 64,-1
MA,Aldeias Altas,Masculino,65 ou mais,-1
MA,Aldeias Altas,Masculino,Total,23
MA,Aldeias Altas,Feminino,Até 17,2
MA,Aldeias Altas,Feminino,18 a 24,6
MA,Aldeias Altas,Feminino,25 a 29,0
MA,Aldeias Altas,Feminino,30 a 39,-2
MA,Aldeias Altas,Feminino,40 a 49,-3
MA,Aldeias Altas,Feminino,50 a 64,-1
MA,Aldeias Altas,Feminino,65 ou mais,0
MA,Aldeias Altas,Feminino,Total,2
MA,Aldeias Altas,Total,Até 17,5
MA,Aldeias Altas,Total,18 a 24,25
MA,Aldeias Altas,Total,25 a 29,7
MA,Aldeias Altas,Total,30 a 39,3
MA,Aldeias Altas,Total,40 a 49,-12
MA,Aldeias Altas,Total,50 a 64,-2
MA,Aldeias Altas,Total,65 ou mais,-1
MA,Aldeias Altas,Total,Total,25
MA,Altamira do Maranhao,Masculino,Até 17,1
MA,Altamira do Maranhao,Masculino,18 a 24,1
MA,Altamira do Maranhao,Masculino,25 a 29,5
MA,Altamira do Maranhao,Masculino,30 a 39,3
MA,Altamira do Maranhao,Masculino,40 a 49,-1
MA,Altamira do Maranhao,Masculino,50 a 64,0
MA,Altamira do Maranhao,Masculino,65 ou mais,0
MA,Altamira do Maranhao,Masculino,Total,9
MA,Altamira do Maranhao,Feminino,Até 17,0
MA,Altamira do Maranhao,Feminino,18 a 24,0
MA,Altamira do Maranhao,Feminino,25 a 29,1
MA,Altamira do Maranhao,Feminino,30 a 39,0
MA,Altamira do Maranhao,Feminino,40 a 49,0
MA,Altamira do Maranhao,Feminino,50 a 64,0
MA,Altamira do Maranhao,Feminino,65 ou mais,0
MA,Altamira do Maranhao,Feminino,Total,1
MA,Altamira do Maranhao,Total,Até 17,1
MA,Altamira do Maranhao,Total,18 a 24,1
MA,Altamira do Maranhao,Total,25 a 29,6
MA,Altamira do Maranhao,Total,30 a 39,3
MA,Altamira do Maranhao,Total,40 a 49,-1
MA,Altamira do Maranhao,Total,50 a 64,0
MA,Altamira do Maranhao,Total,65 ou mais,0
MA,Altamira do Maranhao,Total,Total,10
MA,Alto Alegre do Maranhao,Masculino,Até 17,0
MA,Alto Alegre do Maranhao,Masculino,18 a 24,9
MA,Alto Alegre do Maranhao,Masculino,25 a 29,1
MA,Alto Alegre do Maranhao,Masculino,30 a 39,-8
MA,Alto Alegre do Maranhao,Masculino,40 a 49,-8
MA,Alto Alegre do Maranhao,Masculino,50 a 64,-1
MA,Alto Alegre do Maranhao,Masculino,65 ou mais,0
MA,Alto Alegre do Maranhao,Masculino,Total,-7
MA,Alto Alegre do Maranhao,Feminino,Até 17,1
MA,Alto Alegre do Maranhao,Feminino,18 a 24,9
MA,Alto Alegre do Maranhao,Feminino,25 a 29,-1
MA,Alto Alegre do Maranhao,Feminino,30 a 39,8
MA,Alto Alegre do Maranhao,Feminino,40 a 49,9
MA,Alto Alegre do Maranhao,Feminino,50 a 64,3
MA,Alto Alegre do Maranhao,Feminino,65 ou mais,0
MA,Alto Alegre do Maranhao,Feminino,Total,29
MA,Alto Alegre do Maranhao,Total,Até 17,1
MA,Alto Alegre do Maranhao,Total,18 a 24,18
MA,Alto Alegre do Maranhao,Total,25 a 29,0
MA,Alto Alegre do Maranhao,Total,30 a 39,0
MA,Alto Alegre do Maranhao,Total,40 a 49,1
MA,Alto Alegre do Maranhao,Total,50 a 64,2
MA,Alto Alegre do Maranhao,Total,65 ou mais,0
MA,Alto Alegre do Maranhao,Total,Total,22
MA,Alto Alegre do Pindare,Masculino,Até 17,0
MA,Alto Alegre do Pindare,Masculino,18 a 24,-1
MA,Alto Alegre do Pindare,Masculino,25 a 29,0
MA,Alto Alegre do Pindare,Masculino,30 a 39,-1
MA,Alto Alegre do Pindare,Masculino,40 a 49,0
MA,Alto Alegre do Pindare,Masculino,50 a 64,0
MA,Alto Alegre do Pindare,Masculino,65 ou mais,0
MA,Alto Alegre do Pindare,Masculino,Total,-2
MA,Alto Alegre do Pindare,Feminino,Até 17,0
MA,Alto Alegre do Pindare,Feminino,18 a 24,1
MA,Alto Alegre do Pindare,Feminino,25 a 29,0
MA,Alto Alegre do Pindare,Feminino,30 a 39,4
MA,Alto Alegre do Pindare,Feminino,40 a 49,1
MA,Alto Alegre do Pindare,Feminino,50 a 64,0
MA,Alto Alegre do Pindare,Feminino,65 ou mais,0
MA,Alto Alegre do Pindare,Feminino,Total,6
MA,Alto Alegre do Pindare,Total,Até 17,0
MA,Alto Alegre do Pindare,Total,18 a 24,0
MA,Alto Alegre do Pindare,Total,25 a 29,0
MA,Alto Alegre do Pindare,Total,30 a 39,3
MA,Alto Alegre do Pindare,Total,40 a 49,1
MA,Alto Alegre do Pindare,Total,50 a 64,0
MA,Alto Alegre do Pindare,Total,65 ou mais,0
MA,Alto Alegre do Pindare,Total,Total,4
MA,Alto Parnaiba,Masculino,Até 17,0
MA,Alto Parnaiba,Masculino,18 a 24,29
MA,Alto Parnaiba,Masculino,25 a 29,15
MA,Alto Parnaiba,Masculino,30 a 39,27
MA,Alto Parnaiba,Masculino,40 a 49,9
MA,Alto Parnaiba,Masculino,50 a 64,6
MA,Alto Parnaiba,Masculino,65 ou mais,0
MA,Alto Parnaiba,Masculino,Total,86
MA,Alto Parnaiba,Feminino,Até 17,0
MA,Alto Parnaiba,Feminino,18 a 24,9
MA,Alto Parnaiba,Feminino,25 a 29,7
MA,Alto Parnaiba,Feminino,30 a 39,-1
MA,Alto Parnaiba,Feminino,40 a 49,0
MA,Alto Parnaiba,Feminino,50 a 64,-2
MA,Alto Parnaiba,Feminino,65 ou mais,0
MA,Alto Parnaiba,Feminino,Total,13
MA,Alto Parnaiba,Total,Até 17,0
MA,Alto Parnaiba,Total,18 a 24,38
MA,Alto Parnaiba,Total,25 a 29,22
MA,Alto Parnaiba,Total,30 a 39,26
MA,Alto Parnaiba,Total,40 a 49,9
MA,Alto Parnaiba,Total,50 a 64,4
MA,Alto Parnaiba,Total,65 ou mais,0
MA,Alto Parnaiba,Total,Total,99
MA,Amapa do Maranhao,Masculino,Até 17,0
MA,Amapa do Maranhao,Masculino,18 a 24,-2
MA,Amapa do Maranhao,Masculino,25 a 29,-1
MA,Amapa do Maranhao,Masculino,30 a 39,0
MA,Amapa do Maranhao,Masculino,40 a 49,-1
MA,Amapa do Maranhao,Masculino,50 a 64,0
MA,Amapa do Maranhao,Masculino,65 ou mais,0
MA,Amapa do Maranhao,Masculino,Total,-4
MA,Amapa do Maranhao,Feminino,Até 17,0
MA,Amapa do Maranhao,Feminino,18 a 24,0
MA,Amapa do Maranhao,Feminino,25 a 29,0
MA,Amapa do Maranhao,Feminino,30 a 39,-2
MA,Amapa do Maranhao,Feminino,40 a 49,0
MA,Amapa do Maranhao,Feminino,50 a 64,0
MA,Amapa do Maranhao,Feminino,65 ou mais,0
MA,Amapa do Maranhao,Feminino,Total,-2
MA,Amapa do Maranhao,Total,Até 17,0
MA,Amapa do Maranhao,Total,18 a 24,-2
MA,Amapa do Maranhao,Total,25 a 29,-1
MA,Amapa do Maranhao,Total,30 a 39,-2
MA,Amapa do Maranhao,Total,40 a 49,-1
MA,Amapa do Maranhao,Total,50 a 64,0
MA,Amapa do Maranhao,Total,65 ou mais,0
MA,Amapa do Maranhao,Total,Total,-6
MA,Amarante do Maranhao,Masculino,Até 17,0
MA,Amarante do Maranhao,Masculino,18 a 24,25
MA,Amarante do Maranhao,Masculino,25 a 29,9
MA,Amarante do Maranhao,Masculino,30 a 39,-6
MA,Amarante do Maranhao,Masculino,40 a 49,7
MA,Amarante do Maranhao,Masculino,50 a 64,-3
MA,Amarante do Maranhao,Masculino,65 ou mais,0
MA,Amarante do Maranhao,Masculino,Total,32
MA,Amarante do Maranhao,Feminino,Até 17,-1
MA,Amarante do Maranhao,Feminino,18 a 24,-2
MA,Amarante do Maranhao,Feminino,25 a 29,1
MA,Amarante do Maranhao,Feminino,30 a 39,2
MA,Amarante do Maranhao,Feminino,40 a 49,2
MA,Amarante do Maranhao,Feminino,50 a 64,-1
MA,Amarante do Maranhao,Feminino,65 ou mais,0
MA,Amarante do Maranhao,Feminino,Total,1
MA,Amarante do Maranhao,Total,Até 17,-1
MA,Amarante do Maranhao,Total,18 a 24,23
MA,Amarante do Maranhao,Total,25 a 29,10
MA,Amarante do Maranhao,Total,30 a 39,-4
MA,Amarante do Maranhao,Total,40 a 49,9
MA,Amarante do Maranhao,Total,50 a 64,-4
MA,Amarante do Maranhao,Total,65 ou mais,0
MA,Amarante do Maranhao,Total,Total,33
MA,Anajatuba,Masculino,Até 17,0
MA,Anajatuba,Masculino,18 a 24,8
MA,Anajatuba,Masculino,25 a 29,-2
MA,Anajatuba,Masculino,30 a 39,0
MA,Anajatuba,Masculino,40 a 49,3
MA,Anajatuba,Masculino,50 a 64,0
MA,Anajatuba,Masculino,65 ou mais,0
MA,Anajatuba,Masculino,Total,9
MA,Anajatuba,Feminino,Até 17,0
MA,Anajatuba,Feminino,18 a 24,0
MA,Anajatuba,Feminino,25 a 29,2
MA,Anajatuba,Feminino,30 a 39,0
MA,Anajatuba,Feminino,40 a 49,2
MA,Anajatuba,Feminino,50 a 64,0
MA,Anajatuba,Feminino,65 ou mais,0
MA,Anajatuba,Feminino,Total,4
MA,Anajatuba,Total,Até 17,0
MA,Anajatuba,Total,18 a 24,8
MA,Anajatuba,Total,25 a 29,0
MA,Anajatuba,Total,30 a 39,0
MA,Anajatuba,Total,40 a 49,5
MA,Anajatuba,Total,50 a 64,0
MA,Anajatuba,Total,65 ou mais,0
MA,Anajatuba,Total,Total,13
MA,Anapurus,Masculino,Até 17,0
MA,Anapurus,Masculino,18 a 24,2
MA,Anapurus,Masculino,25 a 29,-5
MA,Anapurus,Masculino,30 a 39,-12
MA,Anapurus,Masculino,40 a 49,-15
MA,Anapurus,Masculino,50 a 64,-5
MA,Anapurus,Masculino,65 ou mais,0
MA,Anapurus,Masculino,Total,-35
MA,Anapurus,Feminino,Até 17,0
MA,Anapurus,Feminino,18 a 24,1
MA,Anapurus,Feminino,25 a 29,1
MA,Anapurus,Feminino,30 a 39,-2
MA,Anapurus,Feminino,40 a 49,1
MA,Anapurus,Feminino,50 a 64,0
MA,Anapurus,Feminino,65 ou mais,0
MA,Anapurus,Feminino,Total,1
MA,Anapurus,Total,Até 17,0
MA,Anapurus,Total,18 a 24,3
MA,Anapurus,Total,25 a 29,-4
MA,Anapurus,Total,30 a 39,-14
MA,Anapurus,Total,40 a 49,-14
MA,Anapurus,Total,50 a 64,-5
MA,Anapurus,Total,65 ou mais,0
MA,Anapurus,Total,Total,-34
MA,Apicum,Masculino,Até 17,0
MA,Apicum,Masculino,18 a 24,1
MA,Apicum,Masculino,25 a 29,2
MA,Apicum,Masculino,30 a 39,-1
MA,Apicum,Masculino,40 a 49,2
MA,Apicum,Masculino,50 a 64,-1
MA,Apicum,Masculino,65 ou mais,0
MA,Apicum,Masculino,Total,3
MA,Apicum,Feminino,Até 17,0
MA,Apicum,Feminino,18 a 24,-1
MA,Apicum,Feminino,25 a 29,-1
MA,Apicum,Feminino,30 a 39,-1
MA,Apicum,Feminino,40 a 49,0
MA,Apicum,Feminino,50 a 64,0
MA,Apicum,Feminino,65 ou mais,0
MA,Apicum,Feminino,Total,-3
MA,Apicum,Total,Até 17,0
MA,Apicum,Total,18 a 24,0
MA,Apicum,Total,25 a 29,1
MA,Apicum,Total,30 a 39,-2
MA,Apicum,Total,40 a 49,2
MA,Apicum,Total,50 a 64,-1
MA,Apicum,Total,65 ou mais,0
MA,Apicum,Total,Total,0
MA,Araguana,Masculino,Até 17,0
MA,Araguana,Masculino,18 a 24,1
MA,Araguana,Masculino,25 a 29,0
MA,Araguana,Masculino,30 a 39,0
MA,Araguana,Masculino,40 a 49,0
MA,Araguana,Masculino,50 a 64,0
MA,Araguana,Masculino,65 ou mais,0
MA,Araguana,Masculino,Total,1
MA,Araguana,Feminino,Até 17,0
MA,Araguana,Feminino,18 a 24,6
MA,Araguana,Feminino,25 a 29,8
MA,Araguana,Feminino,30 a 39,1
MA,Araguana,Feminino,40 a 49,0
MA,Araguana,Feminino,50 a 64,0
MA,Araguana,Feminino,65 ou mais,0
MA,Araguana,Feminino,Total,15
MA,Araguana,Total,Até 17,0
MA,Araguana,Total,18 a 24,7
MA,Araguana,Total,25 a 29,8
MA,Araguana,Total,30 a 39,1
MA,Araguana,Total,40 a 49,0
MA,Araguana,Total,50 a 64,0
MA,Araguana,Total,65 ou mais,0
MA,Araguana,Total,Total,16
MA,Araioses,Masculino,Até 17,0
MA,Araioses,Masculino,18 a 24,3
MA,Araioses,Masculino,25 a 29,7
MA,Araioses,Masculino,30 a 39,-3
MA,Araioses,Masculino,40 a 49,5
MA,Araioses,Masculino,50 a 64,-1
MA,Araioses,Masculino,65 ou mais,0
MA,Araioses,Masculino,Total,11
MA,Araioses,Feminino,Até 17,0
MA,Araioses,Feminino,18 a 24,7
MA,Araioses,Feminino,25 a 29,-3
MA,Araioses,Feminino,30 a 39,-2
MA,Araioses,Feminino,40 a 49,-2
MA,Araioses,Feminino,50 a 64,-1
MA,Araioses,Feminino,65 ou mais,0
MA,Araioses,Feminino,Total,-1
MA,Araioses,Total,Até 17,0
MA,Araioses,Total,18 a 24,10
MA,Araioses,Total,25 a 29,4
MA,Araioses,Total,30 a 39,-5
MA,Araioses,Total,40 a 49,3
MA,Araioses,Total,50 a 64,-2
MA,Araioses,Total,65 ou mais,0
MA,Araioses,Total,Total,10
MA,Arame,Masculino,Até 17,0
MA,Arame,Masculino,18 a 24,3
MA,Arame,Masculino,25 a 29,0
MA,Arame,Masculino,30 a 39,-8
MA,Arame,Masculino,40 a 49,-2
MA,Arame,Masculino,50 a 64,1
MA,Arame,Masculino,65 ou mais,0
MA,Arame,Masculino,Total,-6
MA,Arame,Feminino,Até 17,0
MA,Arame,Feminino,18 a 24,1
MA,Arame,Feminino,25 a 29,-1
MA,Arame,Feminino,30 a 39,-1
MA,Arame,Feminino,40 a 49,0
MA,Arame,Feminino,50 a 64,0
MA,Arame,Feminino,65 ou mais,0
MA,Arame,Feminino,Total,-1
MA,Arame,Total,Até 17,0
MA,Arame,Total,18 a 24,4
MA,Arame,Total,25 a 29,-1
MA,Arame,Total,30 a 39,-9
MA,Arame,Total,40 a 49,-2
MA,Arame,Total,50 a 64,1
MA,Arame,Total,65 ou mais,0
MA,Arame,Total,Total,-7
MA,Arari,Masculino,Até 17,0
MA,Arari,Masculino,18 a 24,5
MA,Arari,Masculino,25 a 29,7
MA,Arari,Masculino,30 a 39,-1
MA,Arari,Masculino,40 a 49,7
MA,Arari,Masculino,50 a 64,-4
MA,Arari,Masculino,65 ou mais,0
MA,Arari,Masculino,Total,14
MA,Arari,Feminino,Até 17,0
MA,Arari,Feminino,18 a 24,6
MA,Arari,Feminino,25 a 29,-1
MA,Arari,Feminino,30 a 39,6
MA,Arari,Feminino,40 a 49,-4
MA,Arari,Feminino,50 a 64,0
MA,Arari,Feminino,65 ou mais,0
MA,Arari,Feminino,Total,7
