Ano do Evento;Nome do Evento;Evento Gratuito;Qtd Total de Inscritos;Qtd Concluintes;Valor Recebido;% de Ocupação
2017;AGRICULTURA FAMILIAR - PNAE;Sim;7;7;0;0.212121212
2017;Campina innovation 2017 - Palestra Imergino no Mundo Web;Sim;82;82;0;0.82
2017;COMO ATENDER BEM MEU CLIENTE;Sim;22;22;0;0.578947368
2017;COMPRAS GOVERNAMENTAIS - LICITAÇÃO;Sim;2;2;0;1
2017;COMUNICAÇÃO EMPRESARIAL - CONSTRUINDO RELACIONAMENTO COM O MERCADO;Sim;25;25;0;0.581395349
2017;Cursos NOTA FISCAL ELETRONICA;Não;15;15;1350;0.75
2017;EMPREENDEDORISMO EM DOIS TEMPOS;Sim;176;134;0;0.776744186
2017;Empreendedorismo em dois tempos;Sim;33;9;0;1
2017;Empreendorismo em dois tempos;Sim;27;18;0;0.866666667
2017;Gestão de pessoas e Equipes Na medida;Não;13;13;2080;0.65
2017;Gestão Estratégica de Vendas Na Medida;Não;10;10;1100;0.5
2017;INOVAÇÃO E OPORTUNIDADES QUE GERAM RESULTADOS;Sim;285;0;0;-
2017;LICITAÇÃO E CONTRATOS ADMINISTRATIVOS;Sim;10;10;0;1
2017;MEI - COMEÇAR BEM;Sim;16;16;0;1
2017;MODELAGEM DE NEGÓCIO;Não;1;0;0;-
2017;O Microempreendedor Individual;Sim;3;0;0;-
2017;O Microempreendedor Individual para Começar Bem;Sim;44;44;0;0.936170213
2017;Oficina Bovinocultura Leiteira;Sim;1;0;0;-
2017;OFICINA MODELAGEM DE IDEIAS;Não;60;18;360;0.290322581
2017;OFICINA MODELAGEM DE IDEIAS PARA COMEÇAR BEM;Não;41;12;240;0.324324324
2017;OFICINA PLANO DE NEGÓCIO;Não;29;11;220;0.366666667
2017;PALESTRA BNB;Sim;3;0;0;-
2017;Palestra BNB;Sim;2;0;0;-
2017;PALESTRA DO MEI;Sim;76;0;0;-
2017;PALESTRA MEI;Sim;36;12;0;0.921052632
2017;Palestra MEI;Sim;37;8;0;0.947368421
2017;SEI Controlar o Meu Dinheiro;Sim;11;0;0;-
2017;SEI Controlar o Meu Dinheiro 1º Encontro;Não;16;16;150;1
2017;SEI Empreender;Não;16;0;0;-
2017;SEI Planejar;Não;16;16;150;1
2017;SEI Vender!;Não;15;15;150;0.9375
2017;SEI Vender!;Sim;11;0;0;-
2017;TRANSFORME SUA IDÉIA EM MODELO DE NEGÓCIO;Não;17;17;1530;0.68
2017;VOCÊ COMO DIFERENCIAL COMPETITIVO;Sim;14;14;0;0.608695652
2018;-ATUALIZAÇÃO DO MEI E ENCONTRO DO ADs;Sim;22;22;0;0.22
2018;-I DS RH MEETING- UNIPÊ;Sim;29;29;0;0.29
2018;-REUNIÃO DO NÚCLEO SETORIAL DE SEGURANÇA;Sim;6;6;0;0.03
2018;1º Capacitação PPQ - Gestão de Marketing Intermediário;Não;15;15;1520;0.75
2018;1º Congresso Internacional de Mediação. Conciliação e Arbitragem;Sim;369;369;0;0.3075
2018;1º ENCONTRINHO DE MANICURE;Sim;52;52;0;0.26
2018;2° ENCONTRO TERRITÓRIO EMPREENDEDOR VALE DO MAMANGUAPE TES #semanadomei;Sim;36;36;0;0.72
2018;3º CAMPEONATO PARAIBANO DE UNHAS;Não;7;7;490;0.07
2018;3º Encontro Fitness;Sim;63;63;0;0.7875
2018;4° ENSERLEITE - ENCONTRO SERTANEJO DO LEITE;Sim;37;36;0;0.679245283
2018;5° Turma Workshop Plano de Negócio- módulo 3 - Plano Operacional;Não;9;9;240;0.75
2018;5S NA PRODUÇÃO;Sim;6;0;0;-
2018;5W2H - REDE PARAIBANA DE SUPERMERCADOS;Sim;9;9;0;0.3
2018;6 TURMA DO WORKHOP PLANO DE NEGOCIO - PLANO FINANCEIRO.;Não;13;10;240;0.769230769
2018;6° Turma Workshop Plano de Negócio;Não;6;6;200;0.5
2018;6° Turma Workshop Plano de Negócio-Módulo 2- Estudo de Mercado;Não;6;6;160;0.5
2018;6°Turma Workshop Plano de Negócio-Plano Operacional;Não;5;5;160;0.416666667
2018;12ª FEIRA PARAIBANA DA BELEZA - PARTICIPANTES WORKSHOP;Não;67;67;3350;0.004466667
2018;12ª FEIRA PARAIBANA DA BELEZA - VISITANTES;Não;926;920;400;0.061333333
2018;47° encontro nacional da indústria de cerâmica vermelha;Sim;151;0;0;-
2018;47º Encontro Nacional da Indústria da Cerâmica Vermelha;Sim;89;78;0;0.96
2018;47º Encontro Nacional da Indústria de Cerâmica Vermelha;Sim;59;42;0;0.7
2018;201440100462 - SEMANA EMPREENDEDORA DO CENTRO DE CIÊNCIAS TÉCNICAS E AGROALIMENTAR - CCTA;Sim;27;27;0;0.9
2018;A ATIVIDADE AGROPECUÁRIA NO MÉDIO PIRANHAS;Sim;21;21;0;0.7
2018;A ATIVIDADE TÊXTIL NO MÉDIO PIRANHAS;Sim;22;22;0;0.733333333
2018;A CERVEJARIA PARAIBANA;Sim;15;15;0;1
2018;A importância da qualificação dos profissionais da beleza;Sim;10;8;0;0.08
2018;A IMPORTÂNCIA DO CAPITAL DE GIRO PARA O SUCESSO DE SEU NEGÓCIO;Sim;61;18;0;0.5
2018;A importância do Conselho Profissional no Desenvolvimento da Sociedade;Sim;22;22;0;0.88
2018;ABASTECIMENTO DE ÁGUA EM CRISE HÍDRICA;Sim;30;30;0;1
2018;ACESSO A SERVIÇOS FINANCEIROS;Sim;99;99;0;0.832
2018;ADMINISTRAÇÃO DO TEMPO;Não;22;22;1980;0.733333333
2018;AMALÁ;Sim;31;31;0;0.516666667
2018;ANÁLISE DO AMBIENTE INTERNO E EXTERNO DO MÉDIO PIRANHAS;Sim;23;23;0;0.92
2018;Análise e Planejamento Financeiro;Não;19;12;1445;0.6
2018;ANIMA VAREJO;Não;55;0;0;-
2018;ANIMA VAREJO - Um novo jeito de fazer varejo - com FRED ROCHA;Não;46;46;2300;0.92
2018;APICULTURA E MELIPONICULTURA COMO FONTE DE RENDA;Sim;9;6;0;0.4
2018;Aplicação e apresentação do software de gestão para piscicultura;Sim;10;10;0;0.5
2018;Aprenda como criar um site para a sua empresa.;Não;26;26;500;0.742857143
2018;APRESENTAÇÃO 360 DA 1ª FEIRA DE CAPRINOVINOCULTURA DE MONTEIRO;Sim;5;5;0;0.333333333
2018;APRESENTAÇÃO DO PROGRAMA DE DIGITALIZAÇÃO DA COSTA DO CONDE;Sim;15;14;0;0.5
